neo4jId,label
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:4,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:5,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:3,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:0,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:12,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:11,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:10,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:9,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:8,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:6,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:27,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:28,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:26,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:25,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:24,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:23,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:22,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:21,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:20,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:19,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:18,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:17,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:16,3835
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:15,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:13,2879
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:33,2300
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:34,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:32,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:30,2299
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:37,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:56,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:57,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:55,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:54,5663
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:53,5663
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:52,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:51,5663
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:50,5663
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:49,5663
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:48,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:47,5663
