intermediateCommunityIds,label,neo4jId
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:4
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:5
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:3
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:0
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:12
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:11
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:10
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:9
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:8
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:6
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:27
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:28
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:26
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:25
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:24
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:23
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:22
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:21
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:20
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:19
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:18
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:17
,2,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:16
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:15
,54,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:13
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:33
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:34
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:32
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:30
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:37
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:56
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:57
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:55
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:54
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:53
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:52
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:51
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:50
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:49
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:48
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:47
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:45
,50,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:44
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:43
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:42
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:41
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:40
,62,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:39
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:75
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:76
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:74
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:73
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:72
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:71
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:70
,25,4:68504eee-ce09-43ce-af9d-ef2cb95858cc:69
